org_name	ncbi_link	repr
Azorhizobium caulinodans ORS 571	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/525/GCA_000010525.1_ASM1052v1	True
Buchnera aphidicola str. Sg (Schizaphis graminum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1	True
Buchnera aphidicola str. Bp (Baizongia pistaciae)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/725/GCA_000007725.1_ASM772v1	True
Buchnera aphidicola str. APS (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/605/GCA_000009605.1_ASM960v1	False
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/065/GCA_000021065.1_ASM2106v1	False
Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/085/GCA_000021085.1_ASM2108v1	False
Buchnera aphidicola BCc	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/090/965/GCA_000090965.1_ASM9096v1	True
Buchnera aphidicola str. LL01 (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/225/GCA_000183225.1_ASM18322v1	False
Buchnera aphidicola str. TLW03 (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/245/GCA_000183245.1_ASM18324v1	False
Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/285/GCA_000183285.1_ASM18328v1	False
Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/305/GCA_000183305.1_ASM18330v1	False
Buchnera aphidicola (Cinara tujafilina)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/635/GCA_000217635.1_ASM21763v1	True
Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/225/445/GCA_000225445.1_ASM22544v1	True
